,originalTitle,brTitle
3491,"Unsinkable Molly Brown, The (1964)",A Inconquistável Molly (1964)
3492,"Adventures of Ichabod and Mr. Toad, The (1949)",Dois Sujeitos Fabulosos (1949)
3493,"Strange Love of Martha Ivers, The (1946)",O Tempo Não Apaga (1946)
3494,Detour (1945),Curva do Destino (1945)
3495,Billy Elliot (2000),Billy Elliot (2000)
3496,Bedazzled (2000),Endiabrado (2000)
3497,Pay It Forward (2000),A Corrente do Bem (2000)
3498,"Beyond, The (E tu vivrai nel terrore - L'aldilà) (1981)",Terror nas Trevas (1981)
3499,"Private Eyes, The (1981)",Os Investigadores (1981)
3500,"Legend of Drunken Master, The (Jui kuen II) (1994)",A Lenda do Mestre Invencível (1994)
3501,Book of Shadows: Blair Witch 2 (2000),O Livro das Sombras: Bruxa de Blair 2 (2000)
3502,"Little Vampire, The (2000)",O Pequeno Vampiro (2000)
3503,Lucky Numbers (2000),Bilhete Premiado (2000)
3504,Stardom (2000),Estrelato - A Realidade de uma Top Model (2000)
3505,Charlie's Angels (2000),As Panteras (2000)
3506,"Legend of Bagger Vance, The (2000)",Lendas da Vida (2000)
3507,Little Nicky (2000),Um Diabo Diferente (2000)
3508,Men of Honor (2000),Homens de Honra (2000)
3509,Red Planet (2000),Planeta Vermelho (2000)
3510,What's Cooking? (2000),O Que Tem para o Jantar? (2000)
3511,You Can Count on Me (2000),Conte Comigo (2000)
3512,Diamonds Are Forever (1971),007 - Os Diamantes São Eternos (1971)
3513,"Eagle Has Landed, The (1976)",A Águia Pousou (1976)
3514,"6th Day, The (2000)",O 6º Dia (2000)
3515,Bounce (2000),Mais que o Acaso (2000)
3516,How the Grinch Stole Christmas (a.k.a. The Grinch) (2000),O Grinch (2000)
3517,One Day in September (1999),"Munique, 1972: Um Dia em Setembro (1999)"
3518,Rugrats in Paris: The Movie (2000),Rugrats em Paris: Os Anjinhos (2000)
3519,102 Dalmatians (2000),102 Dálmatas (2000)
3520,Malèna (2000),Malena (2000)
3521,Quills (2000),Contos Proibidos do Marquês de Sade (2000)
3522,Unbreakable (2000),Corpo Fechado (2000)
3523,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",O Tigre e o Dragão (2000)
3524,Dungeons & Dragons (2000),Dungeons & Dragons - A Aventura Começa Agora (2000)
3525,Proof of Life (2000),Prova de Vida (2000)
3526,Vertical Limit (2000),Limite Vertical (2000)
3527,"Bounty, The (1984)",Revolta em Alto Mar (1984)
3528,Code of Silence (1985),Código do Silêncio (1985)
3529,"Planes, Trains & Automobiles (1987)",Antes Só do que Mal Acompanhado (1987)
3530,She's Having a Baby (1988),Ela Vai Ter um Bebê (1988)
3531,"Living Daylights, The (1987)",007 Marcado para a Morte (1987)
3532,Transformers: The Movie (1986),Transformers: O Filme (1986)
3533,Wall Street (1987),Wall Street: Poder e Cobiça (1987)
3534,Born on the Fourth of July (1989),Nascido em 4 de Julho (1989)
3535,Talk Radio (1988),Verdades que Matam (1988)
3536,Brewster's Millions (1985),Chuva de Milhões (1985)
3537,Snatch (2000),Snatch: Porcos e Diamantes (2000)
3538,Punchline (1988),Palco das Ilusões (1988)
3539,Chocolat (2000),Chocolate (2000)
3540,"Dude, Where's My Car? (2000)","Cara, Cadê Meu Carro? (2000)"
3541,"Emperor's New Groove, The (2000)",A Nova Onda do Imperador (2000)
3542,Pollock (2000),Pollock (2000)
3543,What Women Want (2000),Do que as Mulheres Gostam (2000)
3544,Finding Forrester (2000),Encontrando Forrester (2000)
3545,"Gift, The (2000)",O Dom da Premonição (2000)
3546,Before Night Falls (2000),Antes do Anoitecer (2000)
3547,Cast Away (2000),Náufrago (2000)
3548,"Family Man, The (2000)",Um Homem de Família (2000)
3549,"House of Mirth, The (2000)",A Essência da Paixão (2000)
3550,Miss Congeniality (2000),Miss Simpatia (2000)
3551,Nowhere to Hide (Injeong sajeong bol geot eobtda) (1999),Nowhere to Hide (Injeong sajeong bol geot eobtda) (1999)
3552,"O Brother, Where Art Thou? (2000)","E Aí, Meu Irmão, Cadê Você? (2000)"
3553,Songcatcher (2000),Coletora de Canções (2000)
3554,State and Main (2000),Deu a Louca nos Astros (2000)
3555,Dracula 2000 (2000),Drácula 2000 (2000)
3556,All the Pretty Horses (2000),Espírito Selvagem (2000)
3557,"Everlasting Piece, An (2000)",A Guerra das Perucas (2000)
3558,Thirteen Days (2000),Treze Dias que Abalaram o Mundo (2000)
3559,Traffic (2000),Traffic: Ninguém Sai Limpo (2000)
3560,"Claim, The (2000)",Riqueza Perdida (2000)
3561,Shadow of the Vampire (2000),A Sombra do Vampiro (2000)
3562,House of Games (1987),O Jogo de Emoções (1987)
3563,Kill Me Again (1989),Mate-me Outra Vez (1989)
3564,Annie (1982),Annie (1982)
3565,Don't Tell Mom the Babysitter's Dead (1991),Viva! A Babá Morreu (1991)
3566,"Officer and a Gentleman, An (1982)",A Força do Destino (1982)
3567,"Alamo, The (1960)",O Álamo (1960)
3568,At Close Range (1986),Caminhos Violentos (1986)
3569,Breaker! Breaker! (1977),"Comboio da Carga Pesada, O (1977)"
3570,Breakheart Pass (1975),O Trem da Morte (1975)
3571,Friendly Persuasion (1956),Sublime Tentação (1956)
3572,Gettysburg (1993),Anjos Assassinos (1993)
3573,Imaginary Crimes (1994),Crimes Imaginários (1994)
3574,Rancho Deluxe (1975),Amigos e Aventureiros (1975)
3575,Horrors of Spider Island (Ein Toter Hing im Netz) (1960),Horrors of Spider Island (Ein Toter Hing im Netz) (1960)
3576,Antitrust (2001),Ameaça Virtual (2001)
3577,Double Take (2001),Pior é Impossível (2001)
3578,Save the Last Dance (2001),No Balanço do Amor (2001)
3579,Panic (2000),Pânico (2000)
3580,"Pledge, The (2001)",A Promessa (2001)
3581,Love Field (1992),As Barreiras do Amor (1992)
3582,The Man in the Moon (1991),No Mundo da Lua (1991)
3583,Mystic Pizza (1988),"Três Mulheres, Três Amores (1988)"
3584,Prelude to a Kiss (1992),Por trás Daquele Beijo (1992)
3585,Coffy (1973),Coffy: Em Busca da Vingança (1973)
3586,Foxy Brown (1974),Foxy Brown (1974)
3587,I'm Gonna Git You Sucka (1988),Vou Te Pegar Otário (1988)
3588,Untamed Heart (1993),Coração Indomável (1993)
3589,Sugar & Spice (2001),Atraídas pelo Perigo (2001)
3590,"Wedding Planner, The (2001)",O Casamento dos Meus Sonhos (2001)
3591,Faithless (Trolösa) (2000),Infiel (2000)
3592,"Invisible Circus, The (2001)",Uma História a Três (2001)
3593,"Legend of Rita, The (Stille nach dem Schuß, Die) (1999)",A Lenda de Rita (1999)
3594,"With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000)",Harry Chegou para Ajudar (2000)
3595,Amazing Grace and Chuck (1987),A Voz do Silêncio (1987)
3596,Amazon Women on the Moon (1987),As Amazonas na Lua (1987)
3597,Baby Boom (1987),Presente de Grego (1987)
3598,Back to the Beach (1987),De Volta à Praia dos Amores (1987)
3599,Barfly (1987),Barfly: Condenados pelo Vício (1987)
3600,Best Seller (1987),A Marca da Corrupção (1987)
3601,Beverly Hills Cop II (1987),Um Tira da Pesada II (1987)
3602,Beverly Hills Cop (1984),Um Tira da Pesada (1984)
3603,"Big Easy, The (1987)",Acerto de Contas (1987)
3604,Big Shots (1987),Os Maiorais (1987)
3605,Born in East L.A. (1987),Nascido em Los Angeles (1987)
3606,"Brave Little Toaster, The (1987)",A Torradeirinha Valente (1987)
3607,Can't Buy Me Love (1987),Namorada de Aluguel (1987)
3608,Cherry 2000 (1987),Cherry 2000 (1987)
3609,Cop (1988),Um Policial Acima da Lei (1988)
3610,Critical Condition (1987),Situação Crítica (1987)
3611,Cry Freedom (1987),Um Grito de Liberdade (1987)
3612,Dead of Winter (1987),Morte no Inverno (1987)
3613,"Dead, The (1987)",Os Vivos e os Mortos (1987)
3614,Death Before Dishonor (1987),Terror no Oriente Médio (1987)
3615,Disorderlies (1987),Três Trapalhões da Pesada (1987)
3616,Eddie Murphy Raw (1987),Eddie Murphy - Sem Censura (1987)
3617,Empire of the Sun (1987),Império do Sol (1987)
3618,Ernest Goes to Camp (1987),A Trilha do Bravo (1987)
3619,"Evil Dead, The (1981)",Evil Dead: A Morte do Demônio (1981)
3620,Extreme Prejudice (1987),O Limite da Traição (1987)
3621,Five Corners (1987),Vingança Tardia (1987)
3622,Flowers in the Attic (1987),Flores no Sótão (1987)
3623,"Fourth Protocol, The (1987)",O Quarto Protocolo (1987)
3624,Gardens of Stone (1987),Jardins de Pedra (1987)
3625,"Glass Menagerie, The (1987)",Algemas de Cristal (1987)
3626,Hiding Out (1987),Fugindo da Máfia (1987)
3627,Hollywood Shuffle (1987),Confusões em Hollywood (1987)
3628,Hope and Glory (1987),Esperança e Glória (1987)
3629,Hot Pursuit (1987),Férias Quentíssimas (1987)
3630,Housekeeping (1987),Rumos Desiguais (1987)
3631,Innerspace (1987),Viagem Insólita (1987)
3632,Ironweed (1987),Ironweed (1987)
3633,Ishtar (1987),Ishtar (1987)
3634,Jaws: The Revenge (1987),Tubarão 87: A Vingança (1987)
3635,Leonard Part 6 (1987),Leonard - Parte 6 (1987)
3636,Less Than Zero (1987),Abaixo de Zero (1987)
3637,"Like Father, Like Son (1987)","Tal Pai, Tal Filho (1987)"
3638,"Lost Boys, The (1987)",Os Garotos Perdidos (1987)
3639,Made in Heaven (1987),Paixão Eterna (1987)
3640,Maid to Order (1987),Cinderela às Avessas (1987)
3641,Making Mr. Right (1987),Construindo um Cara Certinho (1987)
3642,Mannequin (1987),Manequim (1987)
3643,Masters of the Universe (1987),Mestres do Universo (1987)
3644,"Monster Squad, The (1987)",Deu a Louca nos Monstros (1987)
3645,"Month in the Country, A (1987)",Um Mês no Campo (1987)
3646,Morgan Stewart's Coming Home (1987),Morgan Stewart's Coming Home (1987)
3647,My Demon Lover (1987),Travessuras Amorosas de um Diabo Adolescente (1987)
3648,No Man's Land (1987),Atraídos pelo Perigo (1987)
3649,North Shore (1987),Surfe no Havaí (1987)
3650,Head Over Heels (2001),Cinco Evas e um Adão (2001)
3651,Left Behind: The Movie (2000),Deixados para Trás (2000)
3652,Valentine (2001),O Dia do Terror (2001)
3653,In the Mood For Love (Fa yeung nin wa) (2000),Amor à Flor da Pele (2000)
3654,"Million Dollar Hotel, The (2001)",O Hotel de Um Milhão de Dólares (2001)
3655,Nico and Dani (Krámpack) (2000),Nico and Dani (Krámpack) (2000)
3656,Hannibal (2001),Hannibal (2001)
3657,Saving Silverman (Evil Woman) (2001),Mulher Infernal (2001)
3658,"Taste of Others, The (Le goût des autres) (2000)",O Gosto dos Outros (2000)
3659,Vatel (2000),"Vatel, um Banquete para o Rei (2000)"
3660,Down to Earth (2001),O Céu pode Esperar (2001)
3661,Recess: School's Out (2001),Hora do Recreio (2001)
3662,Sweet November (2001),Doce Novembro (2001)
3663,Company Man (2000),Um Agente como a Gente (2000)
3664,"Price of Milk, The (2000)",O Valor do Leite (2000)
3665,Monkeybone (2001),"Monkeybone, no Limite da Imaginação (2001)"
3666,3000 Miles to Graceland (2001),3000 Milhas para o Inferno (2001)
3667,"Widow of St. Pierre, The (Veuve de Saint-Pierre, La) (2000)",A Viúva de Saint-Pierre (2000)
3668,"Mexican, The (2001)",A Mexicana (2001)
3669,See Spot Run (2001),"Spot, um Cão da Pesada (2001)"
3670,"Caveman's Valentine, The (2001)",Visões de um Crime (2001)
3671,"Me You Them (Eu, Tu, Eles) (2000)",Eu Tu Eles (2000)
3672,Series 7: The Contenders (2001),O Sobrevivente (2001)
3673,15 Minutes (2001),15 Minutos (2001)
3674,Get Over It (2001),Volta por Cima (2001)
3675,Blow Dry (a.k.a. Never Better) (2001),De Cabelos em Pé (2001)
3676,Avalon (1990),Avalon (1990)
3677,Gray's Anatomy (1996),Gray's Anatomy (1996)
3678,Madadayo (a.k.a. Not Yet) (1993),Madadayo (1993)
3679,"Mirror Crack'd, The (1980)",A Maldição do Espelho (1980)
3680,Of Mice and Men (1939),Carícia Fatal (1939)
3681,Pixote (1981),Pixote: A Lei do Mais Fraco (1981)
3682,Reform School Girls (1986),Reformatório de Mulheres (1986)
3683,Tapeheads (1988),Tapeheads: Uma Dupla Muito Louca (1988)
3684,Tuff Turf (1985),Tuff Turf: O Rebelde (1985)
3685,"Unbelievable Truth, The (1989)",A Incrível Verdade (1989)
3686,"Bishop's Wife, The (1947)",Um Anjo Caiu do Céu (1947)
3687,Elvis: That's the Way It Is (1970),Elvis Não Morreu (1970)
3688,"Fortune Cookie, The (1966)",Uma Loura por um Milhão (1966)
3689,Lilies of the Field (1963),Uma Voz nas Sombras (1963)
3690,Hans Christian Andersen (1952),Hans Christian Andersen (1952)
3691,"Greatest Story Ever Told, The (1965)",A Maior História Jamais Contada (1965)
3692,Elmer Gantry (1960),Entre Deus e o Pecado (1960)
3693,Alfie (1966),Como Conquistar as Mulheres (1966)
3694,Demetrius and the Gladiators (1954),Demétrio e os Gladiadores (1954)
3695,"Fantasticks, The (1995)",Os Fantásticos (1995)
3696,I Know Where I'm Going! (1945),Sei Onde Fica o Paraíso (1945)
3697,"Abominable Dr. Phibes, The (1971)",O Abominável Dr. Phibes (1971)
3698,"Die, Monster, Die! (1965)",Morte Para Um Monstro (1965)
3699,Real Life (1979),A Vida Como Ela É (1979)
3700,Battle Beyond the Stars (1980),Mercenários das Galáxias (1980)
3701,Death Warrant (1990),Garantia de Morte (1990)
3702,Double Impact (1991),Duplo Impacto (1991)
3703,"End, The (1978)","Se Não Me Mato, Morro! (1978)"
3704,Harley Davidson and the Marlboro Man (1991),Harley Davidson E Marlboro Man - Caçada Sem Tréguas (1991)
3705,Losin' It (1983),Porky 3 (1983)
3706,Mermaids (1990),Minha Mãe é uma Sereia (1990)
3707,"Mighty Quinn, The (1989)",O Poderoso Quinn (1989)
3708,Navy Seals (1990),Comando Imbatível (1990)
3709,Unmade Beds (1997),Unmade Beds (1997)
3710,Rated X (2000),Censura Máxima (2000)
3711,Manhunter (1986),Dragão Vermelho (1986)
3712,Reversal of Fortune (1990),O Reverso da Fortuna (1990)
3713,Death on the Nile (1978),Morte Sobre o Nilo (1978)
3714,Deepstar Six (1989),Abismo do Terror (1989)
3715,Revenge of the Nerds (1984),A Vingança dos Nerds (1984)
3716,Revenge of the Nerds II: Nerds in Paradise (1987),A Vingança dos Nerds 2: Os Nerds Saem de Férias (1987)
3717,Longtime Companion (1990),Meu Querido Companheiro (1990)
3718,4 Little Girls (1997),Quatro Meninas (1997)
3719,River's Edge (1986),Juventude Assassina (1986)
3720,Girls Just Want to Have Fun (1985),Aventura Musical em Chicago (1985)
3721,"Longest Yard, The (1974)",Golpe Baixo (1974)
3722,Necessary Roughness (1991),Tirando o Time de Campo (1991)
3723,C.H.U.D. (1984),C.H.U.D. - A Cidade das Sombras (1984)
3724,Enemy at the Gates (2001),Círculo de Fogo (2001)
3725,Exit Wounds (2001),Rede de Corrupção (2001)
3726,"Dish, The (2001)",A Antena (2001)
3727,Memento (2000),Amnésia (2000)
3728,"Brothers, The (2001)",Os Irmãos (2001)
3729,Heartbreakers (2001),Doce Trapaça (2001)
3730,Say It Isn't So (2001),Diga que Não é Verdade (2001)
3731,Someone Like You (2001),Alguém como Você (2001)
3732,Spy Kids (2001),Pequenos Espiões (2001)
3733,Tomcats (2001),Gatos numa Roubada (2001)
3734,"Tailor of Panama, The (2001)",O Alfaiate do Panamá (2001)
3735,Amores Perros (Love's a Bitch) (2000),Amores Brutos (2000)
3736,Keep the River on Your Right: A Modern Cannibal Tale (2000),Keep the River on Your Right: A Modern Cannibal Tale (2000)
3737,"Gleaners & I, The (Les glaneurs et la glaneuse) (2000)",Os Catadores e Eu (2000)
3738,Along Came a Spider (2001),Na Teia da Aranha (2001)
3739,Blow (2001),Profissão de Risco (2001)
3740,Just Visiting (2001),Os Viajantes do Tempo (2001)
3741,Pokémon 3: The Movie (2001),Pokémon 3: The Movie (2001)
3742,Beautiful Creatures (2000),Divinas Criaturas (2000)
3743,Brigham City (2001),Brigham City (2001)
3744,"Day I Became a Woman, The (Roozi khe zan shodam) (2000)","Day I Became a Woman, The (Roozi khe zan shodam) (2000)"
3745,Shadow Magic (2000),Shadow Magic (2000)
3746,Bridget Jones's Diary (2001),O Diário de Bridget Jones (2001)
3747,Joe Dirt (2001),Joe Sujo (2001)
3748,Josie and the Pussycats (2001),Josie e as Gatinhas (2001)
3749,Kingdom Come (2001),Um Ritual Muito Louco (2001)
3750,"Body, The (2001)",O Corpo (2001)
3751,Chopper (2000),Chopper - Memórias de um Criminoso (2000)
3752,"Circle, The (Dayereh) (2000)",O Círculo (2000)
3753,Crocodile Dundee in Los Angeles (2001),Crocodilo Dundee em Hollywood (2001)
3754,Freddy Got Fingered (2001),Fora de Casa! (2001)
3755,"Center of the World, The (2001)",O Centro do Mundo (2001)
3756,"Luzhin Defence, The (2000)",O Último Lance (2000)
3757,Scarface (1983),Scarface (1983)
3758,Days of Wine and Roses (1962),Vício Maldito (1962)
3759,Driven (2001),Alta Velocidade (2001)
3760,"Forsaken, The (2001)",Vampiros do Deserto (2001)
3761,One Night at McCool's (2001),Que Mulher é Essa? (2001)
3762,Town & Country (2001),"Ricos, Bonitos e Infiéis (2001)"
3763,"Mummy Returns, The (2001)",O Retorno da Múmia (2001)
3764,Eureka (Yurîka) (2000),Eureka (Yurîka) (2000)
3765,Tuvalu (1999),Tuvalu (1999)
3766,Under the Sand (2000),Sob a Areia (2000)
3767,Cleopatra (1963),Cleópatra (1963)
3768,Krull (1983),Krull (1983)
3769,Lost in America (1985),Perdidos na América (1985)
3770,"Lost World, The (1925)",O Mundo Perdido (1925)
3771,Triumph of the Will (Triumph des Willens) (1934),Triunfo da Vontade (1934)
3772,True Believer (1989),Justiça Corrupta (1989)
3773,"World According to Garp, The (1982)",O Mundo Segundo Garp (1982)
3774,Candy (1968),Candy (1968)
3775,Fellini Satyricon (1969),Satyricon de Fellini (1969)
3776,Fellini's Roma (Roma) (1972),Roma de Fellini (1972)
3777,Frankie and Johnny (1966),Entre a Loura e a Ruiva (1966)
3778,Frankie and Johnny (1991),Frankie & Johnny (1991)
3779,"Home of Our Own, A (1993)",Caminho das Pedras (1993)
3780,Paris When It Sizzles (1964),Quando Paris Alucina (1964)
3781,Pola X (1999),Pola X (1999)
3782,"City of Women, The (Città delle donne, La) (1980)",Cidade das Mulheres (1980)
3783,For the Boys (1991),"Para Eles, com Muito Amor (1991)"
3784,Nine to Five (a.k.a. 9 to 5) (1980),Como Eliminar seu Chefe (1980)
3785,Norma Rae (1979),Norma Rae (1979)
3786,Summer Rental (1985),Aluga-se para o Verão (1985)
3787,"5,000 Fingers of Dr. T, The (1953)",Os 5.000 Dedos do Dr. T. (1953)
3788,Backtrack (Catchfire) (1990),Atraída Pelo Perigo (1990)
3789,Love Story (1970),Love Story: Uma História de Amor (1970)
3790,Pelle the Conqueror (Pelle erobreren) (1987),"Pelle, o Conquistador (1987)"
3791,Rififi (Du rififi chez les hommes) (1955),Rififi (1955)
3792,"Knight's Tale, A (2001)",Coração de Cavaleiro (2001)
3793,Bread and Roses (2000),Pão e Rosas (2000)
3794,Calle 54 (2000),Calle 54 (2000)
3795,"King Is Alive, The (2000)",O Rei Está Vivo (2000)
3796,Sordid Lives (2000),Uma Família E Tanto (2000)
3797,Startup.com (2001),Startup.com (2001)
3798,Angel Eyes (2001),Olhar de Anjo (2001)
3799,Shrek (2001),Shrek (2001)
3800,Moulin Rouge (2001),Moulin Rouge - Amor em Vermelho (2001)
3801,Pearl Harbor (2001),Pearl Harbor (2001)
3802,Himalaya (Himalaya - l'enfance d'un chef) (1999),Himalaia (1999)
3803,"Man Who Cried, The (2000)",Porque Choram os Homens (2000)
3804,Our Song (2000),Our Song (2000)
3805,Ice Castles (1978),Castelos de Gelo (1978)
3806,Love Potion #9 (1992),Poção do Amor Nº 9 (1992)
3807,Postcards From the Edge (1990),Lembranças de Hollywood (1990)
3808,Apache (1954),O Último Apache (1954)
3809,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson (a.k.a. Buffalo Bill and the Indians) (1976)",Oeste Selvagem (1976)
3810,City Slickers (1991),"Amigos, Sempre Amigos (1991)"
3811,Eight Men Out (1988),Fora da Jogada (1988)
3812,"Horse Soldiers, The (1959)",Marcha de Heróis (1959)
3813,"Kentuckian, The (1955)",O Aventureiro (1955)
3814,"Night, The (Notte, La) (1960)",A Noite (1960)
3815,Mississippi Burning (1988),Mississippi em Chamas (1988)
3816,"Magnificent Seven, The (1960)",Sete Homens e um Destino (1960)
3817,"Return of the Magnificent Seven, The (a.k.a. Return of the Seven) (1966)",Sete Homens E um Destino II (1966)
